Re,Gr,Ha,Rm,Navg,avgA
800,42500,1,10,7.65747560303656,-0.501592867811595
900,42500,1,10,8.34715285453459,-0.500739552347701
1000,42500,1,10,8.98573802895406,-0.500022099907971
10,47500,1,10,1.00427741697974,-0.49863112428903
30,47500,1,10,1.03703371062181,-0.49890429902752
50,47500,1,10,1.0966896678685,-0.499416112671972
70,47500,1,10,1.17333933653037,-0.500078594561103
90,47500,1,10,1.25714079922702,-0.500773882695563
200,47500,1,10,1.75474259302585,-0.504110139961237
300,47500,1,10,2.38030538038094,-0.507486347097737
400,47500,1,10,3.3245973043544,-0.508304026857132
500,47500,1,10,4.66468325097218,-0.506327378163182
600,47500,1,10,5.85937713501132,-0.504261244986122
700,47500,1,10,6.79718919107356,-0.502781271033901
800,47500,1,10,7.58711081525295,-0.501675498007988
900,47500,1,10,8.2911796594963,-0.500794554576384
1000,47500,1,10,8.93864686563376,-0.500061366947139
10,52500,1,10,1.00403309799463,-0.498215819172861
30,52500,1,10,1.03495610817948,-0.498476078421047
50,52500,1,10,1.09155127353821,-0.498966319422346
70,52500,1,10,1.16482030247306,-0.499607653475643
90,52500,1,10,1.24547134130429,-0.50028919371727
200,52500,1,10,1.71956226845371,-0.503505276488286
300,52500,1,10,2.30302420435659,-0.506964094482297
400,52500,1,10,3.15856979194399,-0.508366604224948
500,52500,1,10,4.43639213013374,-0.506726100137174
600,52500,1,10,5.7050457203763,-0.504517736851033
700,52500,1,10,6.69527444489807,-0.502928409980474
800,52500,1,10,7.51346872429147,-0.50176467303056
900,52500,1,10,8.23337429231628,-0.500852815830553
1000,52500,1,10,8.89058632963683,-0.50010168983622
10,57500,1,10,1.00382522327098,-0.49784589374106
30,57500,1,10,1.03318242549388,-0.498094487186927
50,57500,1,10,1.08713661903442,-0.498564898139874
70,57500,1,10,1.15744983793594,-0.499186009394905
90,57500,1,10,1.23533815319594,-0.499853881292145
200,57500,1,10,1.68929556314819,-0.502957975447899
300,57500,1,10,2.23736158681642,-0.506418001542188
400,57500,1,10,3.02221931180869,-0.50831973985583
500,57500,1,10,4.21435308880443,-0.507100459341567
600,57500,1,10,5.53824539610943,-0.504801881882561
700,57500,1,10,6.58638359914495,-0.503090478030308
800,57500,1,10,7.43615896718681,-0.501861523930208
900,57500,1,10,8.17339808763145,-0.500915559256343
1000,57500,1,10,8.84116181314289,-0.500144482990981
10,62500,1,10,1.00364595664748,-0.49751392578094
30,62500,1,10,1.03164833019298,-0.497751926532434
50,62500,1,10,1.08329683089373,-0.498204061480252
